,y_smoothed
1,0.3184597461866681
2,0.3186373502741822
3,0.3188147650092076
4,0.3189918010392555
5,0.319168269011837
6,0.3193439795744628
7,0.31951874337464353
8,0.3196922656169327
9,0.31986425150588343
10,0.32003440624604895
11,0.3202024350419821
12,0.32036804309823563
13,0.32053093561936197
14,0.3206908178099136
15,0.3208473948744427
16,0.3210003720175013
17,0.3211494544436415
18,0.3212943443273408
19,0.32143474384307646
20,0.3215703551653257
21,0.32170088046856565
22,0.32182602192727316
23,0.32194549751085966
24,0.32205902518873636
25,0.3221663229303141
26,0.3222671087050037
27,0.32236110048221595
28,0.3224482049571873
29,0.32252832882515386
30,0.32260137878135176
31,0.3226672615210165
32,0.3227258837393836
33,0.3227774049704338
34,0.3228219847481475
35,0.32285978260650516
36,0.3228909580794868
37,0.32291567070107224
38,0.32293404651808383
39,0.3229462115773438
40,0.322952291925674
41,0.3229524136098961
42,0.32294670267683206
43,0.32293531731956265
44,0.32291841573116875
45,0.32289615610473116
46,0.32286869663333057
47,0.32283619551004716
48,0.32279882148027556
49,0.3227567432894104
50,0.3227101296828461
51,0.32265914940597723
52,0.32260397120419804
53,0.3225447638229028
54,0.32248169600748533
55,0.3224149365033392
56,0.32234465405585766
57,0.32227101741043385
58,0.3221941953124604
59,0.32211435650732995
60,0.3220316697404349
61,0.3219463037571678
62,0.32185842730292064
63,0.3217682894402402
64,0.3216761392316734
65,0.32158222573976664
66,0.32148679802706653
67,0.32139010515611927
68,0.32129236900594105
69,0.32119381145554776
70,0.3210946543839551
71,0.3209951196701785
72,0.32089542919323305
73,0.32079580483213366
74,0.3206964684658953
75,0.32059764197353274
76,0.320499547234061
77,0.32040240612649495
78,0.3203064405298496
79,0.320211981541006
80,0.32011936025684534
81,0.3200289077742487
82,0.3199409551900966
83,0.31985583360126923
84,0.31977383189102226
85,0.3196952389426108
86,0.31962034363929004
87,0.319549434864315
88,0.31948280150094027
89,0.31942056015781706
90,0.31936282744359645
91,0.31930971996692903
92,0.31926135433646524
93,0.31921784716085544
94,0.31917920997671806
95,0.3191454543206715
96,0.3191165917293339
97,0.31909263373932323
98,0.31907359188725753
99,0.31905915398278123
100,0.31904900783553874
101,0.31904284125517424
102,0.3190403420513316
103,0.3190411980336546
104,0.3190452782536113
105,0.3190524517626696
106,0.3190625876122972
107,0.3190755548539616
108,0.3190912225391301
109,0.31910970671232136
110,0.31913112341805405
111,0.31915558870084654
112,0.31918321860521703
113,0.3192141291756834
114,0.3192484415843477
115,0.31928627700331147
116,0.3193277566046764
117,0.31937300156054405
118,0.319422133043016
119,0.31947529846956163
120,0.31953264525765024
121,0.3195943208247508
122,0.31966047258833236
123,0.31973124796586383
124,0.3198064680986698
125,0.31988595412807425
126,0.319969527195401
127,0.32005700844197366
128,0.3201482190091156
129,0.3202431786856714
130,0.32034190726048534
131,0.32044442452240135
132,0.3205507502602633
133,0.3206609042629146
134,0.3207749272773567
135,0.32089286005059103
136,0.3210147433296188
137,0.3211406178614413
138,0.3212705243930596
139,0.32140434622341796
140,0.32154196665146073
141,0.32168326897613203
142,0.32182813649637587
143,0.3219764525111358
144,0.32212809357323874
145,0.322282936235511
146,0.32244085705077924
147,0.32260173257186964
148,0.32276543935160823
149,0.32293166796568606
150,0.32310010898979424
151,0.32327045299962365
152,0.32344239057086505
153,0.323615612279209
154,0.3237896409190535
155,0.3239639992847965
156,0.32413821017083594
157,0.32431179637156926
158,0.32448428068139373
159,0.3246552119383551
160,0.32482413898049906
161,0.324990610645871
162,0.3251541757725163
163,0.32531438319848033
164,0.3254709355570968
165,0.32562353548169914
166,0.32577188560562076
167,0.32591568856219466
168,0.3260546469847537
169,0.3261885260042198
170,0.3263170907515147
171,0.32644010635756016
172,0.3265573379532773
173,0.3266685506695873
